#DAY  DATE     ROUTE    FLT NO  AIRCRAFT          CLASS  MILEAGE   TOTAL

SAT  13MAR99  PMC-PUQ  LA991   737      CC-CHS   ECON       699  724907
SAT  13MAR99  PUQ-MPN  LA991   737      CC-CHS   ECON       460  725367
SAT  20MAR99  MPN-PUQ  LA990   737  CC-CHS                       ECON       460  726083
SAT  20MAR99              PUQ-PMC  LA990   737   CC-CHS               ECON       699  726782
SAT  20MAR99              PMC-SCL  LA990   737      CC-CHS   ECON       495  727277
MON  22MAR99  SCL-DFW  AA986   767      N39365   ECON      4225  731502

FRI  23APR99  DFW-LAX  AA633   DC10     N133AA   ECON      1072   89364
SUN  25APR99  SNA-DFW  AA622   757      N687AA   ECON      1046  733620

SAT  29MAY99  DFW-TUS  AA521   MD80     N482AA   ECON       706  746494
MON  31MAY99  TUS-DFW  AA736   MD80     N7544A   ECON       706  747200

FRI   4JUN99  DFW-YYZ  AA490   MD80     N283AA   ECON      1042  748242
SUN   6JUN99  YYZ-ORD  AA1335  MD80     N236AA   ECON       378  748620
MON   7JUN99  ORD-DFW  AA2205  757      N630AA   ECON       698  749318

WED  16JUN99  DFW-EWR  AA1644  MD80     N3515    ECON      1192  750510
THU  17JUN99  JFK-LHR  AA142   767      N324AA   ECON      2999  753509
MON  21JUN99  LHR-BOS  AA155   AB300    N33069   ECON      2837  756346
TUE  22JUN99  BOS-DFW  AA1337  757      N625AA   ECON      1356  757702

SUN  11JUL99  DFW-MAN  AA110   767      N351AA   ECON      4020
MON  12JUL99  MAN-LGW  BA2915  737      G-DOCR   ECON       153
SAT  31JUL99  LHR-JFK  VS9     747      G-VTOP   ECON      2999
SUN   1AUG99  LGA-DFW  AA781   MD80     N290AA   FIRST     1206

FRI  29OCT99  DFW-BTR  AA3307  SF340    N240DS   ECON       333
SAT  30OCT99  BTR-DFW  AA3802  EM145    N607AE   ECON       333

SAT  20NOV99  DFW-ORD  AA2248  777      N778AN   ECON       698
SAT  20NOV99  ORD-CDG  AA42    767      N394AN   ECON      3608
SAT  27NOV99  LHR-BOS  AA155   AB300    N14065   ECON      2837
SUN  28NOV99  BOS-DFW  AA947   767      N338AA   ECON      1356

FRI  25FEB00  DFW-SNA  AA1923  757      N635AA   ECON      1046
SUN  27FEB00  SNA-DFW  AA1526  MD80     N427AA   ECON      1046

SUN  12MAR00  DFW-OAK  AA1943  MD80     N16545   ECON      1265
SAT  18MAR00  AMA-DFW  AA2394  F100     N1420D   ECON       271

SAT  22APR00  DFW-ATL  AA536   MD80     N7535A   ECON       635
MON  24APR00  ATL-DFW  AA1333  MD80     N587AA   ECON       635

WED  17MAY00  DFW-LGA  AA752   MD80     N454AA   ECON      1206
WED  17MAY00  JFK-LHR  AA116   AB300    N70073   ECON      2999
MON  29MAY00  BHX-ORD  AA23    767      N351AA   ECON      3365
MON  29MAY00  ORD-DFW  AA2233  MD80     N498AA   ECON       698

FRI   7JUL00  DFW-MAF  AA3811  EM145    N638AE   ECON       268
SAT   8JUL00  MAF-DFW  AA3552  SF340    N384AE   ECON       268

THU   5OCT00  DFW-PSP  AA769   MD80     N218AA   ECON       978
MON   9OCT00  LAX-DFW  AA2436  757      N634AA   ECON      1072

FRI   9MAR01  DFW-PHX  AA1157  MD80     N513AA   ECON       753
FRI   9MAR01  PHX-LAX  AA1919  MD80     N501AA   ECON       322
FRI   9MAR01  LAX-HNL  HA3     DC10     N135AA   ECON      2219
FRI   9MAR01  HNL-ITO  HA282   DC9      N709HA   ECON       188
